/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = torch.tensor(loaded[randind,:,:,:])
tensor(674.8615, device='cuda:0', grad_fn=<MeanBackward1>) 0
tensor(1187.9460, device='cuda:0', grad_fn=<MeanBackward1>) 100
tensor(285.5643, device='cuda:0', grad_fn=<MeanBackward1>) 200
tensor(503.8364, device='cuda:0', grad_fn=<MeanBackward1>) 300
tensor(677.5509, device='cuda:0', grad_fn=<MeanBackward1>) 400
tensor(1461.6182, device='cuda:0', grad_fn=<MeanBackward1>) 500
tensor(488.5186, device='cuda:0', grad_fn=<MeanBackward1>) 600
tensor(465.9189, device='cuda:0', grad_fn=<MeanBackward1>) 700
tensor(261.7719, device='cuda:0', grad_fn=<MeanBackward1>) 800
tensor(360.5133, device='cuda:0', grad_fn=<MeanBackward1>) 900
tensor(533.0827, device='cuda:0', grad_fn=<MeanBackward1>) 1000
tensor(905.1805, device='cuda:0', grad_fn=<MeanBackward1>) 1100
tensor(1505.3243, device='cuda:0', grad_fn=<MeanBackward1>) 1200
tensor(884.3850, device='cuda:0', grad_fn=<MeanBackward1>) 1300
tensor(746.4479, device='cuda:0', grad_fn=<MeanBackward1>) 1400
tensor(821.7889, device='cuda:0', grad_fn=<MeanBackward1>) 1500
tensor(896.5114, device='cuda:0', grad_fn=<MeanBackward1>) 1600
tensor(548.1436, device='cuda:0', grad_fn=<MeanBackward1>) 1700
tensor(571.9117, device='cuda:0', grad_fn=<MeanBackward1>) 1800
tensor(487.4337, device='cuda:0', grad_fn=<MeanBackward1>) 1900
tensor(597.0635, device='cuda:0', grad_fn=<MeanBackward1>) 2000
tensor(1113.1681, device='cuda:0', grad_fn=<MeanBackward1>) 2100
tensor(455.9352, device='cuda:0', grad_fn=<MeanBackward1>) 2200
tensor(351.5744, device='cuda:0', grad_fn=<MeanBackward1>) 2300
tensor(582.0327, device='cuda:0', grad_fn=<MeanBackward1>) 2400
tensor(199.1526, device='cuda:0', grad_fn=<MeanBackward1>) 2500
tensor(830.7095, device='cuda:0', grad_fn=<MeanBackward1>) 2600
tensor(258.1704, device='cuda:0', grad_fn=<MeanBackward1>) 2700
tensor(1163.0632, device='cuda:0', grad_fn=<MeanBackward1>) 2800
