/work/bjzhang_umass_edu/generative_tmula/mymnist/mnist_tapsgm_relu.py:103: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = torch.tensor(loaded[randind,:,:,:])
tensor(696.5679, device='cuda:0', grad_fn=<MeanBackward1>) 0
tensor(1554.3091, device='cuda:0', grad_fn=<MeanBackward1>) 100
tensor(380.5809, device='cuda:0', grad_fn=<MeanBackward1>) 200
tensor(699.9502, device='cuda:0', grad_fn=<MeanBackward1>) 300
tensor(696.1631, device='cuda:0', grad_fn=<MeanBackward1>) 400
tensor(408.4906, device='cuda:0', grad_fn=<MeanBackward1>) 500
tensor(528.0700, device='cuda:0', grad_fn=<MeanBackward1>) 600
tensor(1233.7993, device='cuda:0', grad_fn=<MeanBackward1>) 700
tensor(479.7834, device='cuda:0', grad_fn=<MeanBackward1>) 800
tensor(844.9291, device='cuda:0', grad_fn=<MeanBackward1>) 900
tensor(444.2469, device='cuda:0', grad_fn=<MeanBackward1>) 1000
tensor(616.6984, device='cuda:0', grad_fn=<MeanBackward1>) 1100
tensor(4784.6841, device='cuda:0', grad_fn=<MeanBackward1>) 1200
tensor(682.3965, device='cuda:0', grad_fn=<MeanBackward1>) 1300
tensor(8453.9316, device='cuda:0', grad_fn=<MeanBackward1>) 1400
tensor(884.3708, device='cuda:0', grad_fn=<MeanBackward1>) 1500
tensor(465.0217, device='cuda:0', grad_fn=<MeanBackward1>) 1600
tensor(427.5275, device='cuda:0', grad_fn=<MeanBackward1>) 1700
tensor(409.0238, device='cuda:0', grad_fn=<MeanBackward1>) 1800
tensor(568.2809, device='cuda:0', grad_fn=<MeanBackward1>) 1900
tensor(363.2128, device='cuda:0', grad_fn=<MeanBackward1>) 2000
tensor(467.8011, device='cuda:0', grad_fn=<MeanBackward1>) 2100
tensor(506.7397, device='cuda:0', grad_fn=<MeanBackward1>) 2200
tensor(267.5468, device='cuda:0', grad_fn=<MeanBackward1>) 2300
tensor(700.3327, device='cuda:0', grad_fn=<MeanBackward1>) 2400
tensor(662.8516, device='cuda:0', grad_fn=<MeanBackward1>) 2500
tensor(388.2302, device='cuda:0', grad_fn=<MeanBackward1>) 2600
tensor(494.2076, device='cuda:0', grad_fn=<MeanBackward1>) 2700
tensor(376.9465, device='cuda:0', grad_fn=<MeanBackward1>) 2800
tensor(609.4847, device='cuda:0', grad_fn=<MeanBackward1>) 2900
tensor(285.3135, device='cuda:0', grad_fn=<MeanBackward1>) 3000
tensor(724.6870, device='cuda:0', grad_fn=<MeanBackward1>) 3100
tensor(490.5558, device='cuda:0', grad_fn=<MeanBackward1>) 3200
tensor(469.4511, device='cuda:0', grad_fn=<MeanBackward1>) 3300
tensor(931.8491, device='cuda:0', grad_fn=<MeanBackward1>) 3400
tensor(848.8656, device='cuda:0', grad_fn=<MeanBackward1>) 3500
tensor(637.1701, device='cuda:0', grad_fn=<MeanBackward1>) 3600
tensor(534.6527, device='cuda:0', grad_fn=<MeanBackward1>) 3700
tensor(451.2532, device='cuda:0', grad_fn=<MeanBackward1>) 3800
tensor(397.9276, device='cuda:0', grad_fn=<MeanBackward1>) 3900
tensor(570.7366, device='cuda:0', grad_fn=<MeanBackward1>) 4000
tensor(588.4190, device='cuda:0', grad_fn=<MeanBackward1>) 4100
tensor(395.9247, device='cuda:0', grad_fn=<MeanBackward1>) 4200
tensor(371.1912, device='cuda:0', grad_fn=<MeanBackward1>) 4300
tensor(2533.8757, device='cuda:0', grad_fn=<MeanBackward1>) 4400
tensor(467.6135, device='cuda:0', grad_fn=<MeanBackward1>) 4500
tensor(328.0506, device='cuda:0', grad_fn=<MeanBackward1>) 4600
tensor(594.2412, device='cuda:0', grad_fn=<MeanBackward1>) 4700
tensor(5211.5078, device='cuda:0', grad_fn=<MeanBackward1>) 4800
tensor(296.8758, device='cuda:0', grad_fn=<MeanBackward1>) 4900
tensor(849.9609, device='cuda:0', grad_fn=<MeanBackward1>) 5000
tensor(573.3076, device='cuda:0', grad_fn=<MeanBackward1>) 5100
tensor(547.2318, device='cuda:0', grad_fn=<MeanBackward1>) 5200
tensor(1035.3400, device='cuda:0', grad_fn=<MeanBackward1>) 5300
tensor(393.4062, device='cuda:0', grad_fn=<MeanBackward1>) 5400
tensor(775.9958, device='cuda:0', grad_fn=<MeanBackward1>) 5500
tensor(413.4537, device='cuda:0', grad_fn=<MeanBackward1>) 5600
tensor(506.6621, device='cuda:0', grad_fn=<MeanBackward1>) 5700
tensor(304.2129, device='cuda:0', grad_fn=<MeanBackward1>) 5800
tensor(434.0468, device='cuda:0', grad_fn=<MeanBackward1>) 5900
tensor(825.2378, device='cuda:0', grad_fn=<MeanBackward1>) 6000
tensor(522.3969, device='cuda:0', grad_fn=<MeanBackward1>) 6100
tensor(329.3051, device='cuda:0', grad_fn=<MeanBackward1>) 6200
tensor(516.5520, device='cuda:0', grad_fn=<MeanBackward1>) 6300
