Loading miniconda version 22.11.1-1
Sequential(
  (0): Linear(in_features=3, out_features=32, bias=True)
  (1): GELU(approximate='none')
  (2): Linear(in_features=32, out_features=32, bias=True)
  (3): GELU(approximate='none')
  (4): Linear(in_features=32, out_features=32, bias=True)
  (5): GELU(approximate='none')
  (6): Linear(in_features=32, out_features=32, bias=True)
  (7): GELU(approximate='none')
  (8): Linear(in_features=32, out_features=32, bias=True)
  (9): GELU(approximate='none')
  (10): Linear(in_features=32, out_features=32, bias=True)
  (11): GELU(approximate='none')
  (12): Linear(in_features=32, out_features=32, bias=True)
  (13): GELU(approximate='none')
  (14): Linear(in_features=32, out_features=2, bias=True)
)
tensor(2.0018, grad_fn=<MeanBackward1>) 0
tensor(2.8735, grad_fn=<MeanBackward1>) 100
tensor(3.0659, grad_fn=<MeanBackward1>) 200
tensor(8.8383, grad_fn=<MeanBackward1>) 300
tensor(1.6968, grad_fn=<MeanBackward1>) 400
tensor(6.7107, grad_fn=<MeanBackward1>) 500
tensor(0.8616, grad_fn=<MeanBackward1>) 600
tensor(2.4021, grad_fn=<MeanBackward1>) 700
tensor(1.3911, grad_fn=<MeanBackward1>) 800
tensor(1.5038, grad_fn=<MeanBackward1>) 900
tensor(1.6411, grad_fn=<MeanBackward1>) 1000
tensor(2.0826, grad_fn=<MeanBackward1>) 1100
tensor(4.3289, grad_fn=<MeanBackward1>) 1200
tensor(2.0176, grad_fn=<MeanBackward1>) 1300
tensor(1.2091, grad_fn=<MeanBackward1>) 1400
tensor(3.6030, grad_fn=<MeanBackward1>) 1500
tensor(2.3128, grad_fn=<MeanBackward1>) 1600
tensor(3.0918, grad_fn=<MeanBackward1>) 1700
tensor(1.0567, grad_fn=<MeanBackward1>) 1800
tensor(1.4610, grad_fn=<MeanBackward1>) 1900
tensor(3.8476, grad_fn=<MeanBackward1>) 2000
tensor(1.4169, grad_fn=<MeanBackward1>) 2100
tensor(1.4975, grad_fn=<MeanBackward1>) 2200
tensor(3.2199, grad_fn=<MeanBackward1>) 2300
tensor(4.3142, grad_fn=<MeanBackward1>) 2400
tensor(1.2157, grad_fn=<MeanBackward1>) 2500
tensor(1.2421, grad_fn=<MeanBackward1>) 2600
tensor(3.5750, grad_fn=<MeanBackward1>) 2700
tensor(0.8812, grad_fn=<MeanBackward1>) 2800
tensor(1.6583, grad_fn=<MeanBackward1>) 2900
tensor(1.2196, grad_fn=<MeanBackward1>) 3000
tensor(3.3130, grad_fn=<MeanBackward1>) 3100
tensor(0.9714, grad_fn=<MeanBackward1>) 3200
tensor(2.9691, grad_fn=<MeanBackward1>) 3300
tensor(1.9848, grad_fn=<MeanBackward1>) 3400
tensor(1.3173, grad_fn=<MeanBackward1>) 3500
tensor(1.1633, grad_fn=<MeanBackward1>) 3600
tensor(1.1141, grad_fn=<MeanBackward1>) 3700
tensor(2.3456, grad_fn=<MeanBackward1>) 3800
tensor(2.8143, grad_fn=<MeanBackward1>) 3900
tensor(1.2981, grad_fn=<MeanBackward1>) 4000
tensor(0.9657, grad_fn=<MeanBackward1>) 4100
tensor(2.0741, grad_fn=<MeanBackward1>) 4200
tensor(1.7181, grad_fn=<MeanBackward1>) 4300
tensor(1.4289, grad_fn=<MeanBackward1>) 4400
tensor(2.4585, grad_fn=<MeanBackward1>) 4500
tensor(2.3547, grad_fn=<MeanBackward1>) 4600
tensor(2.0587, grad_fn=<MeanBackward1>) 4700
tensor(0.9124, grad_fn=<MeanBackward1>) 4800
tensor(1.0425, grad_fn=<MeanBackward1>) 4900
tensor(1.0528, grad_fn=<MeanBackward1>) 5000
tensor(1.0708, grad_fn=<MeanBackward1>) 5100
tensor(1.0678, grad_fn=<MeanBackward1>) 5200
tensor(1.2906, grad_fn=<MeanBackward1>) 5300
tensor(4.5102, grad_fn=<MeanBackward1>) 5400
tensor(1.0908, grad_fn=<MeanBackward1>) 5500
tensor(1.6644, grad_fn=<MeanBackward1>) 5600
tensor(1.5194, grad_fn=<MeanBackward1>) 5700
tensor(1.2236, grad_fn=<MeanBackward1>) 5800
tensor(1.1912, grad_fn=<MeanBackward1>) 5900
tensor(1.3226, grad_fn=<MeanBackward1>) 6000
tensor(1.1413, grad_fn=<MeanBackward1>) 6100
tensor(2.4186, grad_fn=<MeanBackward1>) 6200
tensor(1.3029, grad_fn=<MeanBackward1>) 6300
tensor(1.3242, grad_fn=<MeanBackward1>) 6400
tensor(1.3312, grad_fn=<MeanBackward1>) 6500
tensor(1.5661, grad_fn=<MeanBackward1>) 6600
tensor(1.2182, grad_fn=<MeanBackward1>) 6700
tensor(3.8009, grad_fn=<MeanBackward1>) 6800
tensor(1.0218, grad_fn=<MeanBackward1>) 6900
tensor(1.8268, grad_fn=<MeanBackward1>) 7000
tensor(1.8444, grad_fn=<MeanBackward1>) 7100
tensor(0.9567, grad_fn=<MeanBackward1>) 7200
tensor(1.1584, grad_fn=<MeanBackward1>) 7300
