Loading miniconda version 22.11.1-1
Sequential(
  (0): Linear(in_features=3, out_features=32, bias=True)
  (1): GELU(approximate='none')
  (2): Linear(in_features=32, out_features=32, bias=True)
  (3): GELU(approximate='none')
  (4): Linear(in_features=32, out_features=32, bias=True)
  (5): GELU(approximate='none')
  (6): Linear(in_features=32, out_features=32, bias=True)
  (7): GELU(approximate='none')
  (8): Linear(in_features=32, out_features=32, bias=True)
  (9): GELU(approximate='none')
  (10): Linear(in_features=32, out_features=32, bias=True)
  (11): GELU(approximate='none')
  (12): Linear(in_features=32, out_features=32, bias=True)
  (13): GELU(approximate='none')
  (14): Linear(in_features=32, out_features=2, bias=True)
)
tensor(5.0159, grad_fn=<MeanBackward1>) 0
tensor(1.0674, grad_fn=<MeanBackward1>) 100
tensor(1.6772, grad_fn=<MeanBackward1>) 200
tensor(1.8279, grad_fn=<MeanBackward1>) 300
tensor(9.0790, grad_fn=<MeanBackward1>) 400
tensor(3.7957, grad_fn=<MeanBackward1>) 500
tensor(7.7485, grad_fn=<MeanBackward1>) 600
tensor(1.8744, grad_fn=<MeanBackward1>) 700
tensor(2.6003, grad_fn=<MeanBackward1>) 800
tensor(2.4644, grad_fn=<MeanBackward1>) 900
tensor(1.8386, grad_fn=<MeanBackward1>) 1000
tensor(2.3242, grad_fn=<MeanBackward1>) 1100
tensor(1.5738, grad_fn=<MeanBackward1>) 1200
tensor(2.4393, grad_fn=<MeanBackward1>) 1300
tensor(1.6412, grad_fn=<MeanBackward1>) 1400
tensor(2.7989, grad_fn=<MeanBackward1>) 1500
tensor(8.4679, grad_fn=<MeanBackward1>) 1600
tensor(1.9485, grad_fn=<MeanBackward1>) 1700
tensor(5.2813, grad_fn=<MeanBackward1>) 1800
tensor(1.8205, grad_fn=<MeanBackward1>) 1900
tensor(7.3081, grad_fn=<MeanBackward1>) 2000
tensor(2.4684, grad_fn=<MeanBackward1>) 2100
tensor(2.3554, grad_fn=<MeanBackward1>) 2200
tensor(1.5303, grad_fn=<MeanBackward1>) 2300
tensor(1.3688, grad_fn=<MeanBackward1>) 2400
tensor(1.2123, grad_fn=<MeanBackward1>) 2500
tensor(0.9767, grad_fn=<MeanBackward1>) 2600
tensor(2.1991, grad_fn=<MeanBackward1>) 2700
tensor(1.6500, grad_fn=<MeanBackward1>) 2800
tensor(1.2799, grad_fn=<MeanBackward1>) 2900
tensor(1.0961, grad_fn=<MeanBackward1>) 3000
tensor(1.8467, grad_fn=<MeanBackward1>) 3100
tensor(1.6710, grad_fn=<MeanBackward1>) 3200
tensor(1.2240, grad_fn=<MeanBackward1>) 3300
tensor(1.3677, grad_fn=<MeanBackward1>) 3400
tensor(1.0716, grad_fn=<MeanBackward1>) 3500
tensor(1.6992, grad_fn=<MeanBackward1>) 3600
tensor(1.7968, grad_fn=<MeanBackward1>) 3700
tensor(1.4241, grad_fn=<MeanBackward1>) 3800
tensor(1.8647, grad_fn=<MeanBackward1>) 3900
tensor(0.8738, grad_fn=<MeanBackward1>) 4000
tensor(1.2760, grad_fn=<MeanBackward1>) 4100
tensor(0.9925, grad_fn=<MeanBackward1>) 4200
tensor(1.6161, grad_fn=<MeanBackward1>) 4300
tensor(1.3429, grad_fn=<MeanBackward1>) 4400
tensor(3.8895, grad_fn=<MeanBackward1>) 4500
tensor(2.0796, grad_fn=<MeanBackward1>) 4600
tensor(2.2329, grad_fn=<MeanBackward1>) 4700
tensor(0.9511, grad_fn=<MeanBackward1>) 4800
tensor(0.9060, grad_fn=<MeanBackward1>) 4900
tensor(1.8492, grad_fn=<MeanBackward1>) 5000
tensor(2.5645, grad_fn=<MeanBackward1>) 5100
tensor(1.0119, grad_fn=<MeanBackward1>) 5200
tensor(0.9181, grad_fn=<MeanBackward1>) 5300
tensor(1.2187, grad_fn=<MeanBackward1>) 5400
tensor(1.1798, grad_fn=<MeanBackward1>) 5500
tensor(1.0116, grad_fn=<MeanBackward1>) 5600
tensor(1.1091, grad_fn=<MeanBackward1>) 5700
tensor(1.1646, grad_fn=<MeanBackward1>) 5800
tensor(0.7952, grad_fn=<MeanBackward1>) 5900
tensor(1.4539, grad_fn=<MeanBackward1>) 6000
tensor(1.8615, grad_fn=<MeanBackward1>) 6100
tensor(2.1467, grad_fn=<MeanBackward1>) 6200
tensor(1.2155, grad_fn=<MeanBackward1>) 6300
tensor(1.2848, grad_fn=<MeanBackward1>) 6400
tensor(1.5297, grad_fn=<MeanBackward1>) 6500
tensor(0.9188, grad_fn=<MeanBackward1>) 6600
tensor(0.8981, grad_fn=<MeanBackward1>) 6700
tensor(3.5583, grad_fn=<MeanBackward1>) 6800
tensor(0.9840, grad_fn=<MeanBackward1>) 6900
tensor(1.7182, grad_fn=<MeanBackward1>) 7000
tensor(1.0943, grad_fn=<MeanBackward1>) 7100
tensor(2.6990, grad_fn=<MeanBackward1>) 7200
tensor(2.6247, grad_fn=<MeanBackward1>) 7300
tensor(1.7739, grad_fn=<MeanBackward1>) 7400
tensor(2.9660, grad_fn=<MeanBackward1>) 7500
tensor(1.4854, grad_fn=<MeanBackward1>) 7600
tensor(1.5185, grad_fn=<MeanBackward1>) 7700
tensor(2.0543, grad_fn=<MeanBackward1>) 7800
tensor(1.3620, grad_fn=<MeanBackward1>) 7900
tensor(2.6046, grad_fn=<MeanBackward1>) 8000
tensor(1.2099, grad_fn=<MeanBackward1>) 8100
tensor(0.9827, grad_fn=<MeanBackward1>) 8200
tensor(1.0611, grad_fn=<MeanBackward1>) 8300
tensor(1.3186, grad_fn=<MeanBackward1>) 8400
tensor(0.8867, grad_fn=<MeanBackward1>) 8500
tensor(2.0053, grad_fn=<MeanBackward1>) 8600
tensor(0.9612, grad_fn=<MeanBackward1>) 8700
tensor(2.0029, grad_fn=<MeanBackward1>) 8800
tensor(2.0342, grad_fn=<MeanBackward1>) 8900
tensor(2.3581, grad_fn=<MeanBackward1>) 9000
