Loading miniconda version 22.11.1-1
DenoisingModel(
  (fc1): Linear(in_features=3, out_features=32, bias=True)
  (activation1): cosineact()
  (fc2): Linear(in_features=32, out_features=32, bias=True)
  (activation2): GELU(approximate='none')
  (fc3): Linear(in_features=32, out_features=3, bias=True)
  (activation3): GELU(approximate='none')
  (fc4): Linear(in_features=3, out_features=32, bias=True)
  (activation4): GELU(approximate='none')
  (fc5): Linear(in_features=32, out_features=32, bias=True)
  (activation5): GELU(approximate='none')
  (fc6): Linear(in_features=32, out_features=3, bias=True)
  (activation6): GELU(approximate='none')
  (fc7): Linear(in_features=3, out_features=32, bias=True)
  (activation7): GELU(approximate='none')
  (fc8): Linear(in_features=32, out_features=32, bias=True)
  (activation8): GELU(approximate='none')
  (fc9): Linear(in_features=32, out_features=2, bias=True)
)
tensor(204.9421, grad_fn=<AddBackward0>) 0
tensor(214.9341, grad_fn=<AddBackward0>) 100
tensor(240.4817, grad_fn=<AddBackward0>) 200
tensor(331.8430, grad_fn=<AddBackward0>) 300
tensor(318.8943, grad_fn=<AddBackward0>) 400
tensor(255.4665, grad_fn=<AddBackward0>) 500
tensor(193.9182, grad_fn=<AddBackward0>) 600
tensor(183.4228, grad_fn=<AddBackward0>) 700
tensor(237.3504, grad_fn=<AddBackward0>) 800
tensor(392.3990, grad_fn=<AddBackward0>) 900
tensor(221.5184, grad_fn=<AddBackward0>) 1000
tensor(184.8276, grad_fn=<AddBackward0>) 1100
tensor(159.8342, grad_fn=<AddBackward0>) 1200
tensor(195.3325, grad_fn=<AddBackward0>) 1300
tensor(277.9900, grad_fn=<AddBackward0>) 1400
tensor(225.3605, grad_fn=<AddBackward0>) 1500
tensor(271.4979, grad_fn=<AddBackward0>) 1600
tensor(442.7971, grad_fn=<AddBackward0>) 1700
tensor(258.6123, grad_fn=<AddBackward0>) 1800
tensor(239.4442, grad_fn=<AddBackward0>) 1900
tensor(191.6166, grad_fn=<AddBackward0>) 2000
tensor(195.7264, grad_fn=<AddBackward0>) 2100
tensor(156.1398, grad_fn=<AddBackward0>) 2200
tensor(319.3570, grad_fn=<AddBackward0>) 2300
tensor(368.9884, grad_fn=<AddBackward0>) 2400
