2023-02-23 22:24:46.011028	folder path: experiments/mnist/sde-flow/mnistsgm_const/mnist-True-False-128-0.0001-100000
2023-02-23 22:24:46.052089	Namespace(dataset='mnist', dataroot='~/.datasets', saveroot='experiments/mnist', expname='mnistsgm_const', print_every=2000, sample_every=2000, checkpoint_every=2000, num_steps=1000, T0=1.0, vtype='rademacher', batch_size=128, test_batch_size=256, lr=0.0001, num_iterations=100000, real=True, debias=False)
2023-02-23 22:25:25.564728	Iteration 1 	BPD 8.547246932983398
2023-02-23 22:27:39.604342	Iteration 2000 	BPD 5.054743766784668
2023-02-23 22:30:04.129208	Iteration 4000 	BPD 4.6076202392578125
2023-02-23 22:32:36.736301	Iteration 6000 	BPD 4.474190711975098
2023-02-23 22:35:11.477943	Iteration 8000 	BPD 4.2551188468933105
2023-02-23 22:37:36.295370	Iteration 10000 	BPD 4.275055408477783
2023-02-23 22:39:59.643058	Iteration 12000 	BPD 4.2061333656311035
2023-02-23 22:42:22.950707	Iteration 14000 	BPD 4.149167537689209
2023-02-23 22:44:55.106473	Iteration 16000 	BPD 3.6518285274505615
2023-02-23 22:47:19.923136	Iteration 18000 	BPD 4.009733200073242
2023-02-23 22:49:44.226486	Iteration 20000 	BPD 3.9557929039001465
2023-02-23 22:52:13.133215	Iteration 22000 	BPD 4.166742324829102
2023-02-23 22:54:43.821353	Iteration 24000 	BPD 3.8805956840515137
2023-02-23 22:57:11.827057	Iteration 26000 	BPD 3.7485382556915283
2023-02-23 22:59:41.061963	Iteration 28000 	BPD 3.992234468460083
2023-02-23 23:02:08.888269	Iteration 30000 	BPD 4.032607555389404
2023-02-23 23:04:37.287118	Iteration 32000 	BPD 3.7709531784057617
2023-02-23 23:07:04.245214	Iteration 34000 	BPD 3.8884308338165283
2023-02-23 23:09:29.689521	Iteration 36000 	BPD 3.477268695831299
2023-02-23 23:11:51.480210	Iteration 38000 	BPD 3.790682315826416
2023-02-23 23:14:18.764260	Iteration 40000 	BPD 3.578611373901367
2023-02-23 23:16:43.108841	Iteration 42000 	BPD 3.6089210510253906
2023-02-23 23:19:10.705606	Iteration 44000 	BPD 3.7822015285491943
2023-02-23 23:21:39.161211	Iteration 46000 	BPD 3.502182722091675
2023-02-23 23:24:08.002133	Iteration 48000 	BPD 3.767185926437378
2023-02-23 23:26:38.335213	Iteration 50000 	BPD 3.612539768218994
2023-02-23 23:29:03.846369	Iteration 52000 	BPD 3.681931257247925
2023-02-23 23:31:32.045821	Iteration 54000 	BPD 3.696401596069336
2023-02-23 23:34:03.020909	Iteration 56000 	BPD 4.068866729736328
2023-02-23 23:36:30.331063	Iteration 58000 	BPD 3.600116014480591
2023-02-23 23:39:00.478545	Iteration 60000 	BPD 3.5006473064422607
2023-02-23 23:41:27.233241	Iteration 62000 	BPD 3.465087413787842
2023-02-23 23:43:49.765302	Iteration 64000 	BPD 3.6823031902313232
2023-02-23 23:46:19.760568	Iteration 66000 	BPD 3.6125121116638184
2023-02-23 23:48:42.135729	Iteration 68000 	BPD 3.590278148651123
2023-02-23 23:51:03.538725	Iteration 70000 	BPD 3.7261319160461426
2023-02-23 23:53:29.998313	Iteration 72000 	BPD 3.45271372795105
2023-02-23 23:55:57.522096	Iteration 74000 	BPD 3.611274242401123
2023-02-23 23:58:27.529035	Iteration 76000 	BPD 3.766404628753662
2023-02-24 00:00:51.845899	Iteration 78000 	BPD 3.740816831588745
2023-02-24 00:03:18.665606	Iteration 80000 	BPD 3.546651840209961
2023-02-24 00:05:45.360137	Iteration 82000 	BPD 3.7262778282165527
2023-02-24 00:08:15.132469	Iteration 84000 	BPD 3.337552070617676
2023-02-24 00:10:38.805819	Iteration 86000 	BPD 3.823517084121704
2023-02-24 00:13:04.014224	Iteration 88000 	BPD 2.976728677749634
2023-02-24 00:15:29.661949	Iteration 90000 	BPD 3.592752456665039
2023-02-24 00:17:56.212855	Iteration 92000 	BPD 3.4542007446289062
2023-02-24 00:20:25.958784	Iteration 94000 	BPD 3.1589760780334473
2023-02-24 00:22:58.068481	Iteration 96000 	BPD 3.3817379474639893
2023-02-24 00:25:23.041545	Iteration 98000 	BPD 3.5389976501464844
2023-02-24 00:27:47.168970	Iteration 100000 	BPD 3.470517635345459
2023-02-24 00:27:47.188815	Finished training
