2023-02-28 05:25:58.131379	folder path: experiments/mnist_T2/sde-flow/mnistsgm_const/mnist-True-False-128-0.0001-100000
2023-02-28 05:25:58.146420	Namespace(dataset='mnist', dataroot='~/.datasets', saveroot='experiments/mnist_T2', expname='mnistsgm_const', print_every=2000, sample_every=2000, checkpoint_every=2000, num_steps=1000, T0=2.0, vtype='rademacher', batch_size=128, test_batch_size=256, lr=0.0001, num_iterations=100000, real=True, debias=False)
2023-02-28 05:26:14.311568	Iteration 1 	BPD 8.149447441101074
2023-02-28 05:28:45.903645	Iteration 2000 	BPD 3.976893663406372
2023-02-28 05:31:18.913145	Iteration 4000 	BPD 3.6545286178588867
2023-02-28 05:34:02.206988	Iteration 6000 	BPD 3.2796711921691895
2023-02-28 05:36:30.735764	Iteration 8000 	BPD 3.4685444831848145
2023-02-28 05:39:03.729189	Iteration 10000 	BPD 3.2456066608428955
2023-02-28 05:41:34.176300	Iteration 12000 	BPD 2.7125113010406494
2023-02-28 05:44:03.130516	Iteration 14000 	BPD 3.0922813415527344
2023-02-28 05:46:24.299300	Iteration 16000 	BPD 3.0575473308563232
2023-02-28 05:48:57.958419	Iteration 18000 	BPD 2.949490547180176
2023-02-28 05:51:30.660730	Iteration 20000 	BPD 2.7470502853393555
2023-02-28 05:53:54.784733	Iteration 22000 	BPD 2.726849317550659
2023-02-28 05:56:26.192158	Iteration 24000 	BPD 2.805307149887085
2023-02-28 05:58:54.003316	Iteration 26000 	BPD 2.7501046657562256
2023-02-28 06:01:20.272024	Iteration 28000 	BPD 2.4256694316864014
2023-02-28 06:03:48.675497	Iteration 30000 	BPD 1.9031859636306763
2023-02-28 06:06:18.550251	Iteration 32000 	BPD 2.507094144821167
2023-02-28 06:08:46.535546	Iteration 34000 	BPD 2.6291816234588623
2023-02-28 06:11:18.841996	Iteration 36000 	BPD 2.683786630630493
2023-02-28 06:13:44.616240	Iteration 38000 	BPD 2.2198426723480225
2023-02-28 06:16:09.893717	Iteration 40000 	BPD 2.538350820541382
2023-02-28 06:18:40.810366	Iteration 42000 	BPD 2.4261691570281982
2023-02-28 06:21:10.654589	Iteration 44000 	BPD 2.3758134841918945
2023-02-28 06:23:41.093429	Iteration 46000 	BPD 2.4349067211151123
2023-02-28 06:26:06.998728	Iteration 48000 	BPD 2.579174280166626
2023-02-28 06:28:31.510014	Iteration 50000 	BPD 2.6225996017456055
2023-02-28 06:31:06.960652	Iteration 52000 	BPD 2.573554515838623
2023-02-28 06:33:35.480263	Iteration 54000 	BPD 2.5881097316741943
2023-02-28 06:36:06.584910	Iteration 56000 	BPD 2.372793674468994
2023-02-28 06:38:32.622909	Iteration 58000 	BPD 1.7756885290145874
2023-02-28 06:41:01.189091	Iteration 60000 	BPD 2.5268023014068604
2023-02-28 06:43:30.263791	Iteration 62000 	BPD 2.368854284286499
2023-02-28 06:46:00.025730	Iteration 64000 	BPD 2.3032350540161133
2023-02-28 06:48:31.352362	Iteration 66000 	BPD 2.5791265964508057
2023-02-28 06:50:59.913234	Iteration 68000 	BPD 2.2918341159820557
2023-02-28 06:53:26.997323	Iteration 70000 	BPD 2.539419174194336
2023-02-28 06:55:57.219597	Iteration 72000 	BPD 2.3827126026153564
2023-02-28 06:58:25.522019	Iteration 74000 	BPD 2.1488215923309326
2023-02-28 07:00:50.817495	Iteration 76000 	BPD 2.386685609817505
2023-02-28 07:03:18.573734	Iteration 78000 	BPD 2.031188726425171
2023-02-28 07:05:41.962815	Iteration 80000 	BPD 2.280921459197998
2023-02-28 07:08:12.321538	Iteration 82000 	BPD 2.6073949337005615
2023-02-28 07:10:46.973551	Iteration 84000 	BPD 2.4766013622283936
2023-02-28 07:13:07.463347	Iteration 86000 	BPD 2.5353503227233887
2023-02-28 07:15:36.325659	Iteration 88000 	BPD 2.3552448749542236
2023-02-28 07:18:04.269959	Iteration 90000 	BPD 1.9375734329223633
2023-02-28 07:20:36.406120	Iteration 92000 	BPD 1.796958565711975
2023-02-28 07:23:02.660350	Iteration 94000 	BPD 2.452763795852661
2023-02-28 07:25:28.739611	Iteration 96000 	BPD 2.7714874744415283
2023-02-28 07:27:53.266420	Iteration 98000 	BPD 2.9060468673706055
2023-02-28 07:30:16.010278	Iteration 100000 	BPD 1.8945715427398682
2023-02-28 07:30:16.019274	Finished training
