2023-02-25 05:37:25.666195	folder path: experiments/mnist_longT/sde-flow/mnistsgm_const/mnist-True-False-128-0.0001-100000
2023-02-25 05:37:25.678245	Namespace(dataset='mnist', dataroot='~/.datasets', saveroot='experiments/mnist_longT', expname='mnistsgm_const', print_every=2000, sample_every=2000, checkpoint_every=2000, num_steps=1000, T0=10.0, vtype='rademacher', batch_size=128, test_batch_size=256, lr=0.0001, num_iterations=100000, real=True, debias=False)
2023-02-25 05:38:06.280556	Iteration 1 	BPD 726.7686767578125
2023-02-25 05:40:28.650011	Iteration 2000 	BPD 42.94626998901367
2023-02-25 05:42:57.110322	Iteration 4000 	BPD 4.198371887207031
2023-02-25 05:45:20.589489	Iteration 6000 	BPD 1.7185710668563843
2023-02-25 05:47:47.523843	Iteration 8000 	BPD 2.5029425621032715
2023-02-25 05:50:09.462794	Iteration 10000 	BPD 1.3340764045715332
2023-02-25 05:52:37.546696	Iteration 12000 	BPD 1.1840612888336182
2023-02-25 05:55:02.348383	Iteration 14000 	BPD 0.6219826340675354
2023-02-25 05:57:29.993100	Iteration 16000 	BPD 1.1535437107086182
2023-02-25 05:59:55.015358	Iteration 18000 	BPD 1.9784990549087524
2023-02-25 06:02:16.798503	Iteration 20000 	BPD 1.352215051651001
2023-02-25 06:04:39.623734	Iteration 22000 	BPD 0.857797384262085
2023-02-25 06:07:10.143613	Iteration 24000 	BPD 1.3709027767181396
2023-02-25 06:09:40.370972	Iteration 26000 	BPD 1.7723994255065918
2023-02-25 06:12:04.664749	Iteration 28000 	BPD 2.14638090133667
2023-02-25 06:14:35.145762	Iteration 30000 	BPD 2.0699574947357178
2023-02-25 06:17:04.560162	Iteration 32000 	BPD 1.3214730024337769
2023-02-25 06:19:27.474393	Iteration 34000 	BPD 1.4635961055755615
2023-02-25 06:21:53.111322	Iteration 36000 	BPD 1.09066641330719
2023-02-25 06:24:21.628254	Iteration 38000 	BPD 1.4917751550674438
2023-02-25 06:26:49.151558	Iteration 40000 	BPD 1.6306415796279907
2023-02-25 06:29:17.675938	Iteration 42000 	BPD 2.2040176391601562
2023-02-25 06:31:48.344343	Iteration 44000 	BPD 1.9579023122787476
2023-02-25 06:34:20.108906	Iteration 46000 	BPD 2.721526861190796
2023-02-25 06:36:47.572816	Iteration 48000 	BPD 1.1413683891296387
2023-02-25 06:39:25.140441	Iteration 50000 	BPD 1.6398509740829468
2023-02-25 06:41:53.341955	Iteration 52000 	BPD 1.7929078340530396
2023-02-25 06:44:27.986754	Iteration 54000 	BPD 0.7711602449417114
2023-02-25 06:47:00.821792	Iteration 56000 	BPD 2.130126714706421
2023-02-25 06:49:41.410632	Iteration 58000 	BPD 2.070035457611084
2023-02-25 06:52:10.736365	Iteration 60000 	BPD 2.4541051387786865
2023-02-25 06:54:44.711639	Iteration 62000 	BPD 1.0398260354995728
2023-02-25 06:57:17.361120	Iteration 64000 	BPD 1.5764034986495972
2023-02-25 06:59:45.388059	Iteration 66000 	BPD 1.5906944274902344
2023-02-25 07:02:14.405347	Iteration 68000 	BPD 1.8735904693603516
2023-02-25 07:04:47.318302	Iteration 70000 	BPD 1.4208781719207764
2023-02-25 07:07:14.179436	Iteration 72000 	BPD 1.1168513298034668
2023-02-25 07:09:43.297416	Iteration 74000 	BPD 0.2339635193347931
2023-02-25 07:12:20.096311	Iteration 76000 	BPD 1.5837695598602295
2023-02-25 07:14:44.132526	Iteration 78000 	BPD 0.9706248044967651
2023-02-25 07:17:14.504608	Iteration 80000 	BPD 1.9962632656097412
2023-02-25 07:19:40.946172	Iteration 82000 	BPD 0.8541682362556458
2023-02-25 07:22:04.367107	Iteration 84000 	BPD 1.1878249645233154
2023-02-25 07:24:29.254370	Iteration 86000 	BPD 1.6682640314102173
2023-02-25 07:27:03.178544	Iteration 88000 	BPD 1.5565787553787231
2023-02-25 07:29:29.923600	Iteration 90000 	BPD 1.7954576015472412
2023-02-25 07:31:54.442723	Iteration 92000 	BPD 1.922489047050476
2023-02-25 07:34:26.357797	Iteration 94000 	BPD 1.5159271955490112
2023-02-25 07:36:58.021288	Iteration 96000 	BPD 1.3720279932022095
2023-02-25 07:39:25.227084	Iteration 98000 	BPD 2.754849910736084
2023-02-25 07:41:59.091613	Iteration 100000 	BPD 2.402189016342163
2023-02-25 07:41:59.098352	Finished training
