2023-02-24 02:08:27.177816	folder path: experiments/mnist_varvar/sde-flow/mnistsgm_const/mnist-True-False-128-0.0001-100000
2023-02-24 02:08:27.183741	Namespace(dataset='mnist', dataroot='~/.datasets', saveroot='experiments/mnist_varvar', expname='mnistsgm_const', print_every=2000, sample_every=2000, checkpoint_every=2000, num_steps=1000, T0=1.0, vtype='rademacher', batch_size=128, test_batch_size=256, lr=0.0001, num_iterations=100000, real=True, debias=False)
2023-02-24 02:09:02.024412	Iteration 1 	BPD 13.343509674072266
2023-02-24 02:11:25.039776	Iteration 2000 	BPD 2.215418815612793
2023-02-24 02:13:59.120805	Iteration 4000 	BPD 1.7880789041519165
2023-02-24 02:16:27.056473	Iteration 6000 	BPD 1.3639229536056519
2023-02-24 02:18:53.009371	Iteration 8000 	BPD 1.4366387128829956
2023-02-24 02:21:20.532050	Iteration 10000 	BPD 1.5474607944488525
2023-02-24 02:23:49.719152	Iteration 12000 	BPD 1.4718085527420044
2023-02-24 02:26:14.281479	Iteration 14000 	BPD 1.2580747604370117
2023-02-24 02:28:44.096195	Iteration 16000 	BPD 1.4500032663345337
2023-02-24 02:31:14.023226	Iteration 18000 	BPD 1.5260837078094482
2023-02-24 02:33:41.149947	Iteration 20000 	BPD 1.381564974784851
2023-02-24 02:36:06.500221	Iteration 22000 	BPD 1.4707915782928467
2023-02-24 02:38:33.795108	Iteration 24000 	BPD 1.5372552871704102
2023-02-24 02:41:02.389896	Iteration 26000 	BPD 1.6259442567825317
2023-02-24 02:43:30.725106	Iteration 28000 	BPD 1.0859904289245605
2023-02-24 02:45:53.165014	Iteration 30000 	BPD 1.4853633642196655
2023-02-24 02:48:22.185973	Iteration 32000 	BPD 1.0242605209350586
2023-02-24 02:50:54.327506	Iteration 34000 	BPD 1.0405346155166626
2023-02-24 02:53:17.446528	Iteration 36000 	BPD 1.1912816762924194
2023-02-24 02:55:51.077269	Iteration 38000 	BPD 1.4124783277511597
2023-02-24 02:58:15.375899	Iteration 40000 	BPD 1.2462990283966064
2023-02-24 03:00:41.572635	Iteration 42000 	BPD 1.2996976375579834
2023-02-24 03:03:11.335052	Iteration 44000 	BPD 1.0510149002075195
2023-02-24 03:05:57.616337	Iteration 46000 	BPD 1.040299415588379
2023-02-24 03:08:40.267944	Iteration 48000 	BPD 1.321338415145874
2023-02-24 03:11:23.958767	Iteration 50000 	BPD 1.264387607574463
2023-02-24 03:13:55.213432	Iteration 52000 	BPD 1.4929896593093872
2023-02-24 03:16:23.409780	Iteration 54000 	BPD 1.3351974487304688
2023-02-24 03:18:53.401750	Iteration 56000 	BPD 1.0828863382339478
2023-02-24 03:21:27.037891	Iteration 58000 	BPD 1.4886146783828735
2023-02-24 03:23:54.607105	Iteration 60000 	BPD 1.2053440809249878
2023-02-24 03:26:32.211997	Iteration 62000 	BPD 1.6192314624786377
2023-02-24 03:29:23.726813	Iteration 64000 	BPD 1.1183687448501587
2023-02-24 03:32:05.862546	Iteration 66000 	BPD 1.0745913982391357
2023-02-24 03:34:45.266762	Iteration 68000 	BPD 1.143810749053955
2023-02-24 03:37:30.263236	Iteration 70000 	BPD 1.2893974781036377
2023-02-24 03:40:05.454864	Iteration 72000 	BPD 1.1987298727035522
2023-02-24 03:42:49.796587	Iteration 74000 	BPD 1.3423478603363037
2023-02-24 03:45:37.000530	Iteration 76000 	BPD 1.3464982509613037
2023-02-24 03:48:26.317341	Iteration 78000 	BPD 1.2180986404418945
2023-02-24 03:50:57.224428	Iteration 80000 	BPD 1.1011769771575928
2023-02-24 03:53:31.145574	Iteration 82000 	BPD 1.2378349304199219
2023-02-24 03:56:10.886992	Iteration 84000 	BPD 0.9799229502677917
2023-02-24 03:58:50.731452	Iteration 86000 	BPD 0.7987053990364075
2023-02-24 04:01:30.275179	Iteration 88000 	BPD 1.1508121490478516
2023-02-24 04:04:09.017875	Iteration 90000 	BPD 0.944282591342926
2023-02-24 04:06:55.204790	Iteration 92000 	BPD 1.3405966758728027
2023-02-24 04:09:37.130947	Iteration 94000 	BPD 1.246353268623352
2023-02-24 04:12:19.395118	Iteration 96000 	BPD 1.4431564807891846
2023-02-24 04:15:01.555408	Iteration 98000 	BPD 1.2623236179351807
2023-02-24 04:17:42.010579	Iteration 100000 	BPD 1.19734525680542
2023-02-24 04:17:42.031509	Finished training
